property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
flat,243.0,2.0,2,2.0,new property,670.0,0,0,high,2.0,low floor,0.41
house,277.0,6.0,6,2.0,Moderately Old,3450.0,1,1,low,0.0,high floor,3.65
flat,134.0,3.0,2,2.0,Relatively New,1701.0,0,0,medium,0.0,high floor,1.2
flat,132.0,2.0,2,3.0,Relatively New,1281.0,0,0,high,0.0,high floor,0.98
house,198.0,8.0,8,4.0,Relatively New,3240.0,1,0,low,1.0,high floor,7.5
flat,214.0,3.0,4,4.0,new property,1923.0,1,0,medium,2.0,low floor,1.65
house,188.0,3.0,6,2.0,Moderately Old,2592.0,1,0,high,2.0,mid floor,5.5
flat,212.0,3.0,3,1.0,Relatively New,1392.0,0,0,medium,0.0,low floor,1.38
house,212.0,1.0,1,0.0,Relatively New,763.0,0,0,medium,1.0,mid floor,0.8
flat,235.0,2.0,2,2.0,new property,998.0,0,0,medium,2.0,high floor,0.9
flat,194.0,3.0,3,3.0,Moderately Old,2127.0,1,0,medium,1.0,high floor,1.85
flat,222.0,2.0,2,1.0,Moderately Old,1239.0,0,0,medium,1.0,high floor,0.75
flat,245.0,3.0,3,0.0,Relatively New,1997.0,0,0,medium,1.0,low floor,1.3
flat,262.0,2.0,1,3.0,new property,828.0,0,0,medium,2.0,mid floor,0.54
flat,175.0,2.0,2,3.0,new property,610.0,0,0,medium,2.0,high floor,0.55
flat,207.0,2.0,2,2.0,Relatively New,1433.0,0,0,medium,1.0,low floor,2.0
flat,245.0,3.0,5,3.0,new property,1737.0,1,0,medium,2.0,low floor,1.32
flat,140.0,4.0,5,4.0,Relatively New,3655.35,1,0,high,0.0,high floor,5.49
flat,235.0,2.0,2,3.0,new property,1233.0,0,0,medium,2.0,high floor,1.0
flat,223.0,2.0,2,3.0,Relatively New,1700.0,0,0,medium,1.0,high floor,1.0
flat,235.0,2.0,2,2.0,new property,998.0,0,0,medium,1.0,mid floor,0.9
house,199.0,2.0,8,4.0,Relatively New,162.0,0,1,high,2.0,high floor,3.8
flat,240.0,3.0,3,2.0,Relatively New,1574.0,0,0,medium,1.0,high floor,0.65
flat,175.0,3.0,3,3.0,Under Construction,1535.0,0,0,medium,1.0,mid floor,1.36
house,134.0,7.0,5,4.0,Relatively New,480.0,1,0,medium,1.0,high floor,11.3
flat,175.0,3.0,3,4.0,Under Construction,1725.0,0,0,medium,1.0,mid floor,1.25
